"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","bhf_dropped_predictors","error_msg"
"sample_001","../../data_raw/samples/transformed-2/sample_001.RDS",0.865940209605875,0.4247707689828,0.252592907475862,TRUE,TRUE,TRUE,"",NA
"sample_002","../../data_raw/samples/transformed-2/sample_002.RDS",0.875560904459715,0.376105479712705,0.378800454533539,TRUE,TRUE,TRUE,"",NA
"sample_003","../../data_raw/samples/transformed-2/sample_003.RDS",0.894366368176171,0.335782018744566,0.312334089141462,TRUE,TRUE,TRUE,"",NA
"sample_004","../../data_raw/samples/transformed-2/sample_004.RDS",0.880637708215061,0.532068144819174,0.297789589268797,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_005","../../data_raw/samples/transformed-2/sample_005.RDS",0.840402717800395,0.518279666593274,0.255459630442566,TRUE,TRUE,TRUE,"",NA
"sample_006","../../data_raw/samples/transformed-2/sample_006.RDS",0.803243965089038,0.511664057960613,0.291019125996733,TRUE,TRUE,TRUE,"",NA
"sample_007","../../data_raw/samples/transformed-2/sample_007.RDS",0.817668610700379,0.518174275935208,0.269455188407286,TRUE,TRUE,TRUE,"",NA
"sample_008","../../data_raw/samples/transformed-2/sample_008.RDS",0.885058751881871,0.387163833666736,0.320551052662453,TRUE,TRUE,TRUE,"",NA
"sample_009","../../data_raw/samples/transformed-2/sample_009.RDS",0.821409960921853,0.449324080814636,0.335051567804898,TRUE,TRUE,TRUE,"",NA
"sample_010","../../data_raw/samples/transformed-2/sample_010.RDS",0.835187622862612,0.490962905446599,0.323253416195095,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_011","../../data_raw/samples/transformed-2/sample_011.RDS",0.86431992214503,0.280960597184289,0.351173657075171,TRUE,TRUE,TRUE,"",NA
"sample_012","../../data_raw/samples/transformed-2/sample_012.RDS",0.791976553197099,0.376314708706589,0.353565546336895,TRUE,TRUE,TRUE,"",NA
"sample_013","../../data_raw/samples/transformed-2/sample_013.RDS",0.825688716227291,0.353932058123804,0.359537628047403,TRUE,TRUE,TRUE,"",NA
"sample_014","../../data_raw/samples/transformed-2/sample_014.RDS",0.840966308427831,0.290181388522528,0.259309658219793,TRUE,TRUE,TRUE,"",NA
"sample_015","../../data_raw/samples/transformed-2/sample_015.RDS",0.812540825795375,0.406408099878085,0.320949460931058,TRUE,TRUE,TRUE,"",NA
"sample_016","../../data_raw/samples/transformed-2/sample_016.RDS",0.868080380738628,0.41558642057108,0.32926528278073,TRUE,TRUE,TRUE,"",NA
