"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","bhf_dropped_predictors","error_msg"
"sample_001","../../data_raw/samples/transformed/sample_001.RDS",0.865940209605467,0.427336746750106,0.375446696082278,TRUE,TRUE,TRUE,"",NA
"sample_002","../../data_raw/samples/transformed/sample_002.RDS",0.875560904459977,0.327304465010434,0.447614557922201,TRUE,TRUE,TRUE,"",NA
"sample_003","../../data_raw/samples/transformed/sample_003.RDS",0.894366368169258,0.359355723885714,0.436416939555676,TRUE,TRUE,TRUE,"",NA
"sample_004","../../data_raw/samples/transformed/sample_004.RDS",0.88063770821151,0.541825192312689,0.389745576327299,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_005","../../data_raw/samples/transformed/sample_005.RDS",0.840402717801182,0.493218007204545,0.316871284474858,TRUE,TRUE,TRUE,"",NA
"sample_006","../../data_raw/samples/transformed/sample_006.RDS",0.803243965093363,0.472703221837927,0.385999937166803,TRUE,TRUE,TRUE,"",NA
"sample_007","../../data_raw/samples/transformed/sample_007.RDS",0.817668610707184,0.531884740443144,0.334076277772773,TRUE,TRUE,TRUE,"",NA
"sample_008","../../data_raw/samples/transformed/sample_008.RDS",0.885058751882588,0.34856242471922,0.41613048250626,TRUE,TRUE,TRUE,"",NA
"sample_009","../../data_raw/samples/transformed/sample_009.RDS",0.821409960913759,0.415457574372383,0.413693149453946,TRUE,TRUE,TRUE,"",NA
"sample_010","../../data_raw/samples/transformed/sample_010.RDS",0.835187622867279,0.501845611096561,0.397424113870772,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_011","../../data_raw/samples/transformed/sample_011.RDS",0.864319922149458,0.301021134036785,0.417647620808422,TRUE,TRUE,TRUE,"",NA
"sample_012","../../data_raw/samples/transformed/sample_012.RDS",0.791976553197616,0.42192916040875,0.428486281653124,TRUE,TRUE,TRUE,"",NA
"sample_013","../../data_raw/samples/transformed/sample_013.RDS",0.825688716210803,0.335893676467372,0.429277141373935,TRUE,TRUE,TRUE,"",NA
"sample_014","../../data_raw/samples/transformed/sample_014.RDS",0.840966308429421,0.255312971677447,0.359983413662636,TRUE,TRUE,TRUE,"",NA
"sample_015","../../data_raw/samples/transformed/sample_015.RDS",0.812540825794564,0.418572335100036,0.400251487808798,TRUE,TRUE,TRUE,"",NA
"sample_016","../../data_raw/samples/transformed/sample_016.RDS",0.868080380737659,0.415822717476608,0.412671151859566,TRUE,TRUE,TRUE,"",NA
"sample_017","../../data_raw/samples/transformed/sample_017.RDS",0.833476013446494,0.401986500162931,0.372222425392731,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_018","../../data_raw/samples/transformed/sample_018.RDS",0.858263940711608,0.259964538381993,0.385146665092839,TRUE,TRUE,TRUE,"",NA
"sample_019","../../data_raw/samples/transformed/sample_019.RDS",0.807918344238686,0.491232234885255,0.388475251966481,TRUE,TRUE,TRUE,"",NA
"sample_020","../../data_raw/samples/transformed/sample_020.RDS",0.858179232782302,0.31070400093315,0.411982105285086,TRUE,TRUE,TRUE,"",NA
"sample_021","../../data_raw/samples/transformed/sample_021.RDS",0.839559697011049,0.513662666535813,0.393794355376777,TRUE,TRUE,TRUE,"",NA
"sample_022","../../data_raw/samples/transformed/sample_022.RDS",0.794389187704026,0.304651112787286,0.406876500132332,TRUE,TRUE,TRUE,"",NA
"sample_023","../../data_raw/samples/transformed/sample_023.RDS",0.790099286435084,0.375166250856886,0.381516846402913,TRUE,TRUE,TRUE,"",NA
"sample_024","../../data_raw/samples/transformed/sample_024.RDS",0.849347333723427,0.446041949029927,0.389942787133616,TRUE,TRUE,TRUE,"",NA
"sample_025","../../data_raw/samples/transformed/sample_025.RDS",0.820887248543512,0.439597998596106,0.414322554000808,TRUE,TRUE,TRUE,"",NA
"sample_026","../../data_raw/samples/transformed/sample_026.RDS",0.852325754910308,0.50864531274809,0.41098637764829,TRUE,TRUE,TRUE,"",NA
